time,gain,v,w,obs_dist,obstacle,front,left,right
0.15,1.5,0.167,0.5667,2.5,0,2.724,3.5,3.5
0.2,1.5,0.167,0.5668,2.5,0,2.724,3.5,3.5
0.25,1.5,0.167,0.567,2.5,0,2.724,3.5,3.5
0.3,1.5,0.1671,0.5619,2.5,0,2.724,3.5,3.5
0.35,1.5,0.1674,0.5518,2.516,0,2.674,3.5,3.5
0.4,1.5,0.1681,0.521,2.516,0,2.674,3.5,3.5
0.45,1.5,0.1685,0.5018,2.516,0,2.674,3.5,3.5
0.501,1.5,0.1693,0.4675,2.516,0,2.674,3.5,3.5
0.55,1.5,0.1696,0.4519,2.54,0,2.636,3.5,3.5
0.601,1.5,0.1704,0.4201,2.54,0,2.636,3.5,3.5
0.65,1.5,0.1707,0.406,2.54,0,2.636,3.5,3.5
0.7,1.5,0.1713,0.378,2.54,0,2.636,3.5,3.5
0.75,1.5,0.1716,0.3651,2.575,0,3.5,3.5,3.5
0.8,1.5,0.1719,0.3522,2.575,0,3.5,3.5,3.5
0.85,1.5,0.1725,0.3284,2.575,0,3.5,3.5,3.5
0.9,1.5,0.1727,0.3166,2.575,0,3.5,3.5,3.5
0.95,1.5,0.1732,0.2951,2.536,0,3.5,3.5,3.5
1.0,1.5,0.1735,0.2851,2.536,0,3.5,3.5,3.5
1.05,1.5,0.1739,0.2653,2.536,0,3.5,3.5,3.5
1.1,1.5,0.1741,0.2564,2.536,0,3.5,3.5,3.5
1.151,1.5,0.1745,0.2387,2.474,0,3.5,3.5,3.5
1.201,1.5,0.1747,0.2305,2.474,0,3.5,3.5,3.5
1.251,1.5,0.1751,0.2147,2.474,0,3.5,3.5,3.5
1.3,1.5,0.1752,0.2074,2.474,0,3.5,3.5,3.5
1.351,1.5,0.1754,0.2001,2.439,0,3.5,3.5,3.5
1.4,1.5,0.1757,0.1866,2.439,0,3.5,3.5,3.5
1.45,1.5,0.1759,0.1799,2.439,0,3.5,3.5,3.5
1.5,1.5,0.1762,0.1677,2.439,0,3.5,3.5,3.5
1.55,1.5,0.1763,0.162,2.387,0,3.5,3.5,3.5
1.601,1.5,0.1765,0.1507,2.387,0,3.5,3.5,3.5
1.65,1.5,0.1767,0.1457,2.387,0,3.5,3.5,3.5
1.701,1.5,0.1769,0.1356,2.387,0,3.5,3.5,3.5
1.75,1.5,0.177,0.131,2.32,0,3.5,3.5,3.5
1.8,1.5,0.1772,0.1221,2.32,0,3.5,3.5,3.5
1.85,1.5,0.1773,0.1179,2.32,0,3.5,3.5,3.5
1.9,1.5,0.1775,0.1098,2.32,0,3.5,3.5,3.5
1.95,1.5,0.1776,0.1061,2.29,0,3.5,3.5,3.5
2.001,1.5,0.1777,0.1023,2.29,0,3.5,3.5,3.5
2.05,1.5,0.1778,0.0955,2.29,0,3.5,3.5,3.5
2.101,1.5,0.1779,0.0922,2.29,0,3.5,3.5,3.5
2.15,1.5,0.178,0.0858,2.231,0,3.5,3.5,3.5
2.201,1.5,0.1781,0.0829,2.231,0,3.5,3.5,3.5
2.25,1.5,0.1782,0.0772,2.231,0,3.5,3.5,3.5
2.3,1.5,0.1783,0.0746,2.231,0,3.5,3.5,3.5
2.35,1.5,0.1784,0.0695,2.204,0,3.5,3.5,3.5
2.4,1.5,0.1785,0.0671,2.204,0,3.5,3.5,3.5
2.45,1.5,0.1786,0.0625,2.204,0,3.5,3.5,3.5
2.5,1.5,0.1786,0.0604,2.204,0,3.5,3.5,3.5
2.55,1.5,0.1787,0.0563,2.151,0,3.5,3.5,3.5
2.601,1.5,0.1788,0.0543,2.151,0,3.5,3.5,3.5
2.65,1.5,0.1788,0.0524,2.151,0,3.5,3.5,3.5
2.7,1.5,0.1789,0.0489,2.151,0,3.5,3.5,3.5
2.75,1.5,0.1789,0.0472,2.096,0,3.5,3.5,3.5
2.8,1.5,0.179,0.044,2.096,0,3.5,3.5,3.5
2.851,1.5,0.179,0.0425,2.096,0,3.5,3.5,3.5
2.9,1.5,0.1791,0.0396,2.096,0,3.5,3.5,3.5
2.95,1.5,0.1791,0.0382,2.057,0,3.5,3.5,3.5
3.0,1.5,0.1792,0.0356,2.057,0,3.5,3.5,3.5
3.05,1.5,0.1792,0.0344,2.057,0,3.5,3.5,3.5
3.1,1.5,0.1793,0.0321,2.057,0,3.5,3.5,3.5
3.15,1.5,0.1793,0.031,2.018,0,3.5,3.5,3.5
3.2,1.5,0.1793,0.0288,2.018,0,3.5,3.5,3.5
3.25,1.5,0.1794,0.0279,2.018,0,3.5,3.5,3.5
3.3,1.5,0.1794,0.0269,2.018,0,3.5,3.5,3.5
3.35,1.5,0.1794,0.0251,1.978,0,3.5,3.5,3.5
3.401,1.5,0.1794,0.0242,1.978,0,3.5,3.5,3.5
3.451,1.5,0.1795,0.0226,1.978,0,3.5,3.5,3.5
3.5,1.5,0.1795,0.0218,1.978,0,3.5,3.5,3.5
3.55,1.5,0.1795,0.0203,1.909,0,3.5,3.5,3.5
3.6,1.5,0.1796,0.0196,1.909,0,3.5,3.5,3.5
3.65,1.5,0.1796,0.0183,1.909,0,3.5,3.5,3.5
3.7,1.5,0.1796,0.0176,1.909,0,3.5,3.5,3.5
3.75,1.5,0.1796,0.0164,1.882,0,3.5,3.5,3.5
3.8,1.5,0.1796,0.0159,1.882,0,3.5,3.5,3.5
3.85,1.5,0.1797,0.0148,1.882,0,3.5,3.5,3.5
3.9,1.5,0.1797,0.0143,1.882,0,3.5,3.5,3.5
3.95,1.5,0.1797,0.0138,1.84,0,3.5,3.5,3.5
4.0,1.5,0.1797,0.0129,1.84,0,3.5,3.5,3.5
