time,gain,v,w,obs_dist,obstacle,front,left,right
0.2,0.8,0.167,0.5667,2.201,0,3.5,3.5,3.5
0.25,0.8,0.167,0.5667,2.201,0,3.5,3.5,3.5
0.3,0.8,0.167,0.5669,2.201,0,3.5,3.5,3.5
0.35,0.8,0.167,0.5663,2.201,0,3.5,3.5,3.5
0.4,0.8,0.1674,0.5518,2.165,0,3.5,3.5,3.5
0.451,0.8,0.1677,0.5377,2.165,0,3.5,3.5,3.5
0.5,0.8,0.1685,0.5019,2.165,0,3.5,3.5,3.5
0.551,0.8,0.1689,0.4837,2.165,0,3.5,3.5,3.5
0.6,0.8,0.1697,0.4516,2.143,0,3.5,3.5,3.5
0.65,0.8,0.17,0.4358,2.143,0,3.5,3.5,3.5
0.7,0.8,0.1704,0.42,2.143,0,3.5,3.5,3.5
0.75,0.8,0.171,0.3923,2.143,0,3.5,3.5,3.5
0.8,0.8,0.1713,0.3786,2.118,0,3.5,3.5,3.5
0.85,0.8,0.1719,0.3524,2.118,0,3.5,3.5,3.5
0.9,0.8,0.1722,0.3406,2.118,0,3.5,3.5,3.5
0.95,0.8,0.1727,0.3169,2.118,0,3.5,3.5,3.5
1.0,0.8,0.173,0.3062,2.083,0,3.5,3.5,3.5
1.051,0.8,0.1735,0.2852,2.083,0,3.5,3.5,3.5
1.1,0.8,0.1737,0.2754,2.083,0,3.5,3.5,3.5
1.15,0.8,0.1741,0.2565,2.083,0,3.5,3.5,3.5
1.2,0.8,0.1743,0.2478,2.054,0,3.5,3.5,3.5
1.25,0.8,0.1745,0.239,2.054,0,3.5,3.5,3.5
1.3,0.8,0.1749,0.223,2.054,0,3.5,3.5,3.5
1.35,0.8,0.1751,0.2153,2.054,0,3.5,3.5,3.5
1.4,0.8,0.1754,0.2005,2.008,0,3.5,3.5,3.5
1.451,0.8,0.1756,0.1937,2.008,0,3.5,3.5,3.5
1.5,0.8,0.1759,0.1803,2.008,0,3.5,3.5,3.5
1.55,0.8,0.176,0.1742,2.008,0,3.5,3.5,3.5
1.6,0.8,0.1763,0.1623,1.955,0,3.5,3.5,3.5
1.65,0.8,0.1764,0.1567,1.955,0,3.5,3.5,3.5
1.7,0.8,0.1767,0.146,1.955,0,3.5,3.5,3.5
1.75,0.8,0.1768,0.141,1.955,0,3.5,3.5,3.5
1.8,0.8,0.1769,0.136,1.927,0,3.5,3.5,3.5
1.85,0.8,0.1771,0.1269,1.927,0,3.5,3.5,3.5
1.9,0.8,0.1772,0.1225,1.927,0,3.5,3.5,3.5
1.95,0.8,0.1774,0.1141,1.927,0,3.5,3.5,3.5
2.0,0.8,0.1775,0.1103,1.885,0,3.5,3.5,3.5
2.051,0.8,0.1776,0.1026,1.885,0,3.5,3.5,3.5
2.1,0.8,0.1777,0.0992,1.885,0,3.5,3.5,3.5
2.15,0.8,0.1779,0.0924,1.885,0,3.5,3.5,3.5
2.201,0.8,0.178,0.0892,1.854,0,3.5,3.5,3.5
2.25,0.8,0.178,0.0861,1.854,0,3.5,3.5,3.5
2.3,0.8,0.1782,0.0803,1.854,0,3.5,3.5,3.5
2.35,0.8,0.1782,0.0774,1.854,0,3.5,3.5,3.5
2.4,0.8,0.1783,0.0721,1.854,0,3.5,3.5,3.5
2.45,0.8,0.1784,0.0697,1.815,0,3.5,3.5,3.5
2.5,0.8,0.1785,0.0649,1.815,0,3.5,3.5,3.5
2.55,0.8,0.1786,0.0627,1.815,0,3.5,3.5,3.5
2.6,0.8,0.1787,0.0584,1.815,0,3.5,3.5,3.5
2.65,0.8,0.1787,0.0564,1.778,0,3.5,3.5,3.5
2.7,0.8,0.1788,0.0544,1.778,0,3.5,3.5,3.5
2.751,0.8,0.1788,0.0508,1.778,0,3.5,3.5,3.5
2.8,0.8,0.1789,0.049,1.778,0,3.5,3.5,3.5
2.85,0.8,0.179,0.0457,1.706,0,3.5,3.5,3.5
2.9,0.8,0.179,0.0441,1.706,0,3.5,3.5,3.5
2.95,0.8,0.1791,0.0411,1.706,0,3.5,3.5,3.5
3.0,0.8,0.1791,0.0397,1.706,0,3.5,3.5,3.5
3.05,0.8,0.1792,0.037,1.656,0,3.5,3.5,3.5
3.1,0.8,0.1792,0.0357,1.656,0,3.5,3.5,3.5
3.15,0.8,0.1792,0.0333,1.656,0,3.5,3.5,3.5
